Notice Date,Effective Date,Received Date,Company,City,County,Employees,Layoff/Closure
11/10/2020,01/10/2021,12/21/2020,Kaiser Foundation Hospitals - Corona Data Center Admin,Corona,Riverside County ,4,Layoff Permanent
12/04/2020,11/30/2020,12/18/2020,Seaside Dining Group,Hawthorne,Los Angeles County ,6,Layoff Temporary
12/04/2020,11/30/2020,12/18/2020,"Seaside Dining Group, Inc",Los Angeles,Los Angeles County ,6,Layoff Temporary
12/04/2020,11/30/2020,12/18/2020,"Seaside Dining Group, Inc.",Alhambra,Los Angeles County ,32,Layoff Temporary
12/04/2020,11/30/2020,12/18/2020,"SEASIDE DINING GROUP, INC.",Duarte,Los Angeles County ,7,Layoff Temporary
12/07/2020,12/09/2020,12/18/2020,Stones South Bay Corp. dba Seven Mile Casino,Chula Vista,San Diego County ,250,Layoff Temporary
12/07/2020,02/13/2021,12/18/2020,Valiant Integrated Services,Fort Irwin,San Bernardino County ,84,Closure Temporary
12/04/2020,01/29/2020,12/17/2020,"Universal City Studios, LLC dba Universal Studios Hollywood",Universal City,Los Angeles County ,2,Layoff Permanent
11/13/2020,11/13/2020,12/17/2020,Hyatt Corporation dba Andaz Napa,Napa,Napa County ,6,Layoff Permanent
12/04/2020,12/04/2020,12/17/2020,"Wencor Group, LLC",Temecula,Riverside County ,5,Layoff Permanent
12/07/2020,12/07/2020,12/17/2020,Alisal Guest Ranch and Resort,Solvang,Santa Barbara County ,252,Layoff Temporary
12/04/2020,11/18/2020,12/17/2020,"Knighted Ventures, LLC",Gilroy,Santa Clara County ,33,Closure Temporary
12/01/2020,11/30/2020,12/17/2020,Crystal Casino,Compton,Los Angeles County ,295,Layoff Temporary
11/25/2020,11/25/2020,12/17/2020,"TUPELO RESTAURANTS, INC. DBA BO-BEAU KITCHEN + ROOF TAP",Long Beach,Los Angeles County ,26,Layoff Permanent
11/30/2020,11/25/2020,12/17/2020,"Soho Warehouse, LLC",Los Angeles,Los Angeles County ,98,Layoff Temporary
11/29/2020,11/30/2020,12/17/2020,"Prime Time Athletic Club, Inc.",Burlingame,San Mateo County ,57,Closure Temporary
12/05/2020,12/06/2020,12/17/2020,PLAYERS CASINO,Ventura,Ventura County ,62,Layoff Temporary
12/04/2020,12/04/2020,12/16/2020,Cambria Hotel & Suites,Anaheim,Orange County ,15,Layoff Temporary
12/05/2020,12/05/2020,12/16/2020,Golden Door Spa,San Marcos,San Diego County ,90,Layoff Temporary
11/27/2020,11/27/2020,12/15/2020,"USA Cinemas Services, LLC dba Cinepolis",Thousand Oaks,Ventura County ,31,Closure Temporary
11/30/2020,11/25/2020,12/14/2020,Soho House,West Hollywood,Los Angeles County ,140,Layoff Temporary
12/01/2020,01/31/2021,12/14/2020,"Sundance Holdings Group, LLC",Corte Madera,Marin County ,7,Closure Permanent
12/02/2020,12/31/2020,12/14/2020,Bolle Brands,Carlsbad,San Diego County ,1,Layoff Permanent
12/01/2020,02/01/2021,12/14/2020,Wells Fargo,San Francisco,San Francisco County ,10,Layoff Permanent
12/01/2020,12/03/2020,12/14/2020,"Equinox Holdings, Inc.",San Mateo,San Mateo County ,68,Layoff Temporary
12/01/2020,01/30/2021,12/14/2020,MobileIron,Mountain View,Santa Clara County ,75,Layoff Permanent
12/03/2020,03/15/2021,12/11/2020,Southwest Airlines - John Wayne Airport,Santa Ana,Orange County ,128,Layoff Temporary
12/03/2020,03/15/2021,12/11/2020,Southwest Airlines - Sacramento International Airport,Sacramento,Sacramento County ,208,Layoff Temporary
12/03/2020,03/15/2021,12/11/2020,Southwest Airlines - San Diego International Airport,San Diego,San Diego County ,358,Layoff Temporary
12/03/2020,03/15/2021,12/11/2020,Southwest Airlines - Norman Y. Mineta San Jose International Airport,San Jose,Santa Clara County ,285,Layoff Temporary
11/20/2020,11/20/2020,12/11/2020,YMCA,Burbank,Los Angeles County ,80,Layoff Temporary
11/25/2020,11/25/2020,12/08/2020,Joey Downtown Los Angeles Restaurant,Los Angeles,Los Angeles County ,92,Layoff Temporary
11/25/2020,11/25/2020,12/08/2020,Joey Woodland Hills Restaurant,Woodland Hills,Los Angeles County ,72,Layoff Temporary
12/03/2020,03/15/2021,12/07/2020,Southwest Airlines - Metropolitan Oakland International Airport,Oakland,Alameda County ,573,Layoff Temporary
12/03/2020,03/15/2021,12/07/2020,Southwest Airlines - Long Beach/Daughtry Field,Long Beach,Los Angeles County ,16,Layoff Temporary
12/03/2020,03/15/2021,12/07/2020,Southwest Airlines - Los Angeles International Airport,Los Angeles,Los Angeles County ,632,Layoff Temporary
12/03/2020,03/15/2021,12/07/2020,Southwest Airlines - Hollywood Burbank Airport,Burbank,Los Angeles County ,141,Layoff Temporary
12/03/2020,03/15/2021,12/07/2020,Southwest Airlines - Palm Springs International Airport,Palm Springs,Riverside County ,1,Layoff Temporary
12/03/2020,03/15/2021,12/07/2020,Southwest Airlines - Ontario International Airport,Ontario,San Bernardino County ,54,Layoff Temporary
12/03/2020,03/15/2021,12/07/2020,Southwest Airlines - San Francisco International Airport,San Francisco,San Francisco County ,158,Layoff Temporary
10/15/2020,12/15/2020,12/04/2020,"Century Blinds, Inc.",Corona,Riverside County ,46,Closure Permanent
11/18/2020,01/25/2021,12/04/2020,"Southwest Airlines, Metropolitan Oakland International Airport",Oakland,Alameda County ,8,Layoff Temporary
11/30/2020,09/25/2020,12/03/2020,"STAR Sports Theatre Arts & Recreation, Inc.",Culver City,Los Angeles County ,70,Layoff Permanent
11/25/2020,11/30/2020,12/03/2020,VH Property Corp dba Trump National Golf Club,Rancho Palos Verdes,Los Angeles County ,26,Layoff Temporary
09/30/2020,09/28/2020,12/03/2020,Centric Brands Inc.,Los Angeles,Los Angeles County ,1,Layoff Permanent
09/18/2020,09/18/2020,12/03/2020,"Hyatt Corporation, Andaz West Hollywood",West Hollywood,Los Angeles County ,10,Layoff Permanent
11/30/2020,01/29/2021,12/03/2020,IAP Worldwide Services Inc.,Fresno,Fresno County ,108,Layoff Permanent
11/30/2020,12/03/2020,12/03/2020,Blackstone Gaming LLC dba Larry Flynt's Lucky Lady Casino,Gardena,Los Angeles County ,54,Closure Temporary
10/27/2020,12/27/2020,12/03/2020,La Quinta Resort Club US,La Quinta,Riverside County ,207,Layoff Permanent
11/30/2020,12/03/2020,12/03/2020,Blackstone Gaming LLC at Casino M8trix,San Jose,Santa Clara County ,106,Closure Temporary
11/30/2020,01/29/2021,12/03/2020,TE Connectivity,Campbell,Santa Clara County ,178,Closure Permanent
11/24/2020,11/17/2020,12/02/2020,Blackhawk Country Club,Danville,Contra Costa County ,31,Layoff Temporary
11/24/2020,01/31/2020,12/02/2020,UPS Supply Chain Solutions,Fontana,San Bernardino County ,87,Layoff Permanent
11/25/2020,01/17/2021,12/02/2020,VillaSport Club & Spa,San Jose,Santa Clara County ,30,Layoff Permanent
04/28/2020,04/20/2020,12/02/2020,Zoological Society of San Diego dba San Diego Zoo Global,San Diego,San Diego County ,1690,Layoff Temporary
11/02/2020,12/31/2020,12/02/2020,Paramount Recovery Services,Sunnyvale,Santa Clara County ,10,Layoff Temporary
11/02/2020,12/31/2020,12/02/2020,Paramount Recovery Service,Simi Valley,Ventura County ,20,Layoff Temporary
10/20/2020,12/09/2020,12/01/2020,Claremont McKenna College,Claremont,Los Angeles County ,129,Layoff Temporary
11/30/2020,11/30/2020,12/01/2020,"Temple City Baekjeong, LLC",Temple City,Los Angeles County ,52,Closure Permanent
11/18/2020,11/23/2020,12/01/2020,In Shape Health Clubs,Capitola,Santa Cruz County ,12,Closure Temporary
11/18/2020,11/23/2020,12/01/2020,In-Shape Health Clubs,Vacaville,Solano County ,12,Closure Temporary
09/16/2020,09/30/2020,12/01/2020,Bon Appetit Management Co.,Burbank,Los Angeles County ,176,Layoff Permanent
11/25/2020,12/05/2020,12/01/2020,"Universal City Studios, LLC dba Universal Studios Hollywood",Universal City,Los Angeles County ,6,Layoff Permanent
11/25/2020,11/25/2020,12/01/2020,Interstate Management Co. LLC dba Perry Lang's Yountville Restaurant at The Estate,Yountville,Napa County ,11,Layoff Temporary
11/30/2020,11/30/2020,12/01/2020,Evolution Hospitality dba Cambria Hotel & Suites Anaheim,Anaheim,Orange County ,4,Layoff Temporary
11/02/2020,12/31/2020,11/30/2020,RockSugar Southeast Asian Kitchen,Los Angeles,Los Angeles County ,106,Closure Permanent
11/20/2020,11/30/2020,11/30/2020,"Kirkhill, Inc.",Brea,Orange County ,536,Layoff Temporary
11/24/2020,11/24/2020,11/30/2020,"Hosopo, Corporation",Hemet,Riverside County ,137,Closure Permanent
11/16/2020,01/29/2021,11/30/2020,Boston Scientific Corporation,Menlo Park,San Mateo County ,126,Closure Permanent
11/19/2020,01/19/2021,11/30/2020,"Greenberry Industrial, LLC",Fairfield,Solano County ,38,Closure Permanent
11/23/2020,11/23/2020,11/30/2020,"Tricap International, LLC",Rancho Dominguez,Los Angeles County ,180,Closure Permanent
11/13/2020,11/13/2020,11/30/2020,"Flying Food Group, LLC",South San Francisco,San Mateo County ,7,Layoff Type Unknown
11/30/2020,11/30/2020,11/30/2020,Hotel Casa Del Mar,Santa Monica,Los Angeles County ,36,Layoff Temporary
10/28/2020,11/28/2020,11/25/2020,Kaiser Foundation Hospitals,San Jose,Santa Clara County ,1,Layoff Permanent
11/23/2020,11/26/2020,11/24/2020,King's Seafood Company,Long Beach,Los Angeles County ,102,Layoff Temporary
11/23/2020,11/26/2020,11/24/2020,King's Seafood Company,Santa Monica,Los Angeles County ,237,Layoff Temporary
11/23/2020,11/26/2020,11/24/2020,Kings Seafood Company,Los Angeles,Los Angeles County ,70,Layoff Temporary
03/20/2020,03/20/2020,11/24/2020,Soho Warehouse,Los Angeles,Los Angeles County ,16,Layoff Permanent
11/16/2020,01/11/2021,11/23/2020,Adventist Health Home Care,Chico,Butte County ,14,Closure Permanent
11/19/2020,11/17/2020,11/23/2020,CorePower Yoga LLC,Berkeley,Contra Costa County ,18,Closure Temporary
11/18/2020,01/29/2021,11/23/2020,Dun & Bradstreet,Malibu,Los Angeles County ,1,Closure Permanent
11/18/2020,01/25/2021,11/23/2020,Metroplitan Oakland International Airport,Oakland,Alameda County ,8,Layoff Temporary
11/18/2020,01/25/2021,11/23/2020,Southwest Airlines,Los Angeles,Alameda County ,6,Layoff Temporary
11/20/2020,01/21/2020,11/23/2020,"Kinkisharyo International, LLC",Palmdale,Los Angeles County ,10,Layoff Permanent
11/20/2020,11/30/2020,11/23/2020,Sheraton Park Hotel at the Anaheim Resort,Anaheim,Orange County ,63,Layoff Temporary
10/23/2020,03/16/2020,11/20/2020,Athletics Investment Group LLC,Oakland,Alameda County ,63,Layoff Permanent
10/27/2020,12/21/2020,11/20/2020,Full Steam Staffing,Orland,Glenn County ,21,Layoff Temporary
11/19/2020,03/31/2021,11/20/2020,TridentCare,Burbank,Los Angeles County ,36,Closure Permanent
11/20/2020,01/29/2021,11/20/2020,Edition Management LLC dba The West Hollywood EDITION,West Hollywood,Los Angeles County ,15,Layoff Permanent
11/18/2020,11/18/2020,11/20/2020,Napa Valley Casino,American Canyon,Napa County ,69,Layoff Temporary
11/20/2020,01/29/2020,11/20/2020,"Marriott Hotel Services, Inc. dba The Anaheim Marriott Hotel",Anaheim,Orange County ,54,Layoff Permanent
11/18/2020,04/08/2020,11/20/2020,"WeWork Companies, Inc. dba WeWork",San Francisco,San Francisco County ,105,Layoff Permanent
