Notice Date,Effective Date,Received Date,Company,City,County,Employees,Layoff/Closure
04/08/2020,03/31/2020,05/18/2020,"Gosch Auto Group, Inc.",Escondido,San Diego County,48.0,Layoff Temporary
03/11/2020,03/11/2020,05/18/2020,Hilton San Francisco Airport Bayfront,Burlingame,San Mateo County,110.0,Layoff Unknown at thistime
05/01/2020,05/04/2020,05/18/2020,Farallon Fisheries,South San Francisco,San Mateo County,7.0,Layoff Temporary
03/25/2020,03/25/2020,05/18/2020,P. F. Chang's China Bistro,San Jose,Santa Clara County,100.0,Layoff Temporary
05/01/2020,05/04/2020,05/18/2020,The Fish Market,San Jose,Santa Clara County,75.0,Layoff Temporary
05/01/2020,05/04/2020,05/18/2020,"Fish Market Restaurants, Inc. Inc.",Palo Alto,Santa Clara County,243.0,Layoff Temporary
03/31/2020,03/20/2020,05/18/2020,"Jim's Formal Wear, LLC",Visalia,Tulare County,52.0,Layoff Temporary
03/23/2020,03/29/2020,05/18/2020,SSA Group - Los Angeles Zoo,Los Angeles,Los Angeles County,158.0,Layoff Temporary
04/30/2020,05/04/2020,05/18/2020,DURHAM SCHOOL SERVICES,San Bernardino,San Bernardino County,409.0,Layoff Temporary
03/19/2020,03/24/2020,05/18/2020,Omni La Costa Resort & Spa,Carlsbad,San Diego County,760.0,Closure Temporary
03/23/2020,03/29/2020,05/18/2020,"SSA Group, LLC",San Francisco,San Francisco County,106.0,Layoff Temporary
04/02/2020,04/02/2020,05/18/2020,Gus's BBQ Restaurant,Claremont,Los Angeles County,63.0,Layoff Temporary
03/27/2020,03/19/2020,05/18/2020,"Cal Cartage Warehousing and Transloading,LLC",Torrance,Los Angeles County,74.0,Layoff Temporary
03/26/2020,03/27/2020,05/18/2020,Robbins Brothers Inc,Azusa,Los Angeles County,39.0,Closure Temporary
03/31/2020,03/18/2020,05/18/2020,"Ace Hotel Group LLC, - Ace Hotel DTLA",Los Angeles,Los Angeles County,247.0,Layoff Temporary
05/01/2020,05/08/2020,05/18/2020,"National Football League Enterprises, LLC",Culver City,Los Angeles County,466.0,Layoff Temporary
04/26/2020,04/26/2020,05/18/2020,"Enterprise Rent-A-Car Co of Sacramento, LLC",Roseville,Placer County,199.0,Layoff Unknown at thistime
03/31/2020,03/31/2020,05/18/2020,Poway Auto Group,Poway,San Diego County,35.0,Layoff Permanent
03/27/2020,03/20/2020,05/18/2020,"Gold Star Foods, Inc.",Dixon,Solano County,25.0,Layoff Temporary
03/27/2020,03/18/2020,05/15/2020,CPK dba California Pizza Kitchen,Playa Vista,Los Angeles County,71.0,Layoff Temporary
03/26/2020,03/23/2020,05/15/2020,Pomona Valley Mining Co.,Pomona,Los Angeles County,83.0,Layoff Temporary
03/23/2020,03/23/2020,05/15/2020,RUSNAK-ARCADIA,Arcadia,Los Angeles County,37.0,Layoff Temporary
03/23/2020,03/23/2020,05/15/2020,Ultra Pro,Commerce,Los Angeles County,76.0,Layoff Temporary
03/16/2020,03/16/2020,05/15/2020,NoMad Hotel Manager LA LLC,Los Angeles,Los Angeles County,59.0,Layoff Unknown at thistime
03/19/2020,03/20/2020,05/15/2020,Piazza Romana LLC dba La Piazza Restaurant,Los Angeles,Los Angeles County,95.0,Layoff Temporary
03/19/2020,03/20/2020,05/15/2020,Romana Promenade - Trastevere Restaurant,Santa Monica,Los Angeles County,49.0,Layoff Temporary
03/19/2020,03/19/2020,05/15/2020,"Flying Food Group, LLC",Los Angeles,Los Angeles County,26.0,Layoff Permanent
05/01/2020,04/17/2020,05/15/2020,Unibail Rodamco Westfield,Los Angeles,Los Angeles County,141.0,Layoff Temporary
05/08/2020,07/08/2020,05/15/2020,"Teledyne Controls, LLC",El Segundo,Los Angeles County,175.0,Layoff Permanent
03/30/2020,04/02/2020,05/15/2020,"David's Bridal, LLC f/k/a/ David's Bridal, Inc.",Costa Mesa,Orange County,14.0,Closure Temporary
03/18/2020,03/19/2020,05/15/2020,"PIF Restaurant Group, Inc",Lake Forest,Orange County,162.0,Layoff Permanent
03/19/2020,03/16/2020,05/15/2020,Desert Palms Suites LP dba Desert PalmsHotel & Suites,Anaheim,Orange County,69.0,Layoff Temporary
03/26/2020,03/23/2020,05/15/2020,OCMC Inc. dba Orange County Mining Co.,Santa Ana,Orange County,79.0,Layoff Temporary
03/21/2020,03/18/2020,05/15/2020,"Pavilion Car Care Center, Inc.",Sacramento,Sacramento County,75.0,Closure Temporary
03/19/2020,03/19/2020,05/15/2020,"The Brigantine, Inc.",Del Mar,San Diego County,792.0,Layoff Temporary
03/19/2020,03/19/2020,05/15/2020,"The Brigantine, Inc.",San Diego,San Diego County,69.0,Layoff Temporary
03/19/2020,03/19/2020,05/15/2020,"The Brigantine, Inc.",San Diego,San Diego County,32.0,Layoff Temporary
03/19/2020,03/10/2020,05/15/2020,"The Brigantine, Inc.",Coronado,San Diego County,74.0,Layoff Temporary
03/20/2020,03/20/2020,05/15/2020,Ocean's 11 Casino,Oceanside,San Diego County,360.0,Layoff Temporary
03/20/2020,03/23/2020,05/15/2020,Aviara Residential Employment Inc - FourSeasons Residence Club Aviara,Carlsbad,San Diego County,249.0,Layoff Temporary
04/29/2020,05/13/2020,05/15/2020,Kearny Mesa Chrysler Dodge Jeep Ram,San Diego,San Diego County,4.0,Layoff Permanent
03/31/2020,03/16/2020,05/15/2020,The Westin San Diego,San Diego,San Diego County,130.0,Layoff Temporary
03/21/2020,03/23/2020,05/15/2020,"Renoir HM, LLC dba San Francisco ProperHotel",San Francisco,San Francisco County,149.0,Layoff Unknown at thistime
03/19/2020,03/19/2020,05/15/2020,Pyramid San Jose Management LP,San Jose,Santa Clara County,56.0,Layoff Temporary
03/30/2020,04/02/2020,05/15/2020,"David's Bridal, LLC f/k/a David's Bridal, Inc.",San Jose,Santa Clara County,11.0,Closure Temporary
04/27/2020,04/27/2020,05/15/2020,"OS Restaurant Services, LLC, dba Fleming's",Palo Alto,Santa Clara County,172.0,Layoff Temporary
05/04/2020,03/18/2020,05/15/2020,"Alpha Staffing, LLC",San Jose,Santa Clara County,55.0,Layoff Permanent
04/13/2020,04/10/2020,05/15/2020,Fox Factory Inc.,Watsonville,Santa Cruz County,85.0,Layoff Temporary
03/25/2020,03/25/2020,05/15/2020,"Tralee, Inc. dba Antioch Auto Center",Antioch,Contra Costa County,156.0,Layoff Temporary
05/04/2020,03/19/2020,05/15/2020,Virgin Hotel San Francisco,San Francisco,San Francisco County,174.0,Layoff Temporary
03/25/2020,03/25/2020,05/15/2020,"Tralee, Inc. dba Tracy Ford",Tracy,San Joaquin County,170.0,Layoff Temporary
03/18/2020,03/20/2020,05/15/2020,Hilton Santa Clara,Santa Clara,Santa Clara County,122.0,Closure Temporary
04/24/2020,03/25/2020,05/15/2020,Golden Vally Health Centers,Modesto,Stanislaus County,6.0,Layoff Temporary
03/25/2020,03/25/2020,05/15/2020,Beltray Inc. dba All Star Ford,Pittsburg,Contra Costa County,27.0,Layoff Temporary
04/02/2020,04/02/2020,05/15/2020,Lorna Jane,Santa Monica,Los Angeles County,1.0,Layoff Permanent
05/04/2020,03/20/2020,05/15/2020,Tempur Sealy,City of Industry,Los Angeles County,211.0,Layoff Temporary
03/20/2020,03/18/2020,05/15/2020,Longo Toyota,El Monte,Los Angeles County,124.0,Layoff Temporary
03/20/2020,03/16/2020,05/15/2020,"Rectory Vibiana, LLC dba Redbird",Los Angeles,Los Angeles County,125.0,Layoff Temporary
03/20/2020,03/16/2020,05/15/2020,"Republique, LLC",Los Angeles,Los Angeles County,212.0,Layoff Temporary
03/20/2020,03/16/2020,05/15/2020,"The Rose Cafe & Market, Inc.",Venice,Los Angeles County,210.0,Layoff Temporary
03/20/2020,03/16/2020,05/15/2020,"Anaibiv, LLC",Los Angeles,Los Angeles County,5.0,Layoff Temporary
03/23/2020,03/16/2020,05/15/2020,Arroyo Partners LLC dba Arroyo Chop House,Pasadena,Los Angeles County,45.0,Layoff Temporary
03/20/2020,03/20/2020,05/15/2020,Lunada Bay Corporation,Anaheim,Orange County,58.0,Layoff Permanent
03/20/2020,03/16/2020,05/15/2020,SodexoMAGIC at Disneyland,Anaheim,Orange County,100.0,Closure Temporary
05/15/2020,05/01/2020,05/15/2020,"Amada America, Inc.",Brea,Orange County,34.0,Layoff Unknown at thistime
03/19/2020,03/19/2020,05/15/2020,Associated Students Sacramento State,Sacramento,Sacramento County,227.0,Layoff Unknown at thistime
03/25/2020,03/23/2020,05/15/2020,"SRZ Automotive Group, Inc dba Folsom LakeHonda",Rancho Cordova,Sacramento County,93.0,Layoff Temporary
03/20/2020,03/19/2020,05/15/2020,"Dolphin Hotel Management, LLC",San Diego,San Diego County,75.0,Layoff Temporary
03/20/2020,03/20/2020,05/15/2020,San Ysidro Health,Chula Vista,San Diego County,111.0,Layoff Temporary
05/06/2020,07/06/2020,05/15/2020,Airbnb,San Francisco,San Francisco County,661.0,Layoff Permanent
03/25/2020,03/23/2020,05/15/2020,"Stockton Auto Cars, Inc dba Stockton Honda",Stockton,San Joaquin County,77.0,Layoff Temporary
03/25/2020,03/23/2020,05/15/2020,"Auto Town, Inc dba Toyota Town",Stockton,San Joaquin County,61.0,Layoff Temporary
03/27/2020,03/17/2020,05/15/2020,YMCA of Silicon Valley,Santa Clara,Santa Clara County,1657.0,Layoff Unknown at thistime
03/20/2020,03/20/2020,05/15/2020,"Renaissance Hotel MGMT CO, LLC",Sonoma,Sonoma County,172.0,Layoff Temporary
04/23/2020,04/23/2020,05/14/2020,RICOH,Livermore,Alameda County,3.0,Layoff Permanent
03/27/2020,04/27/2020,05/14/2020,Clearedge Lending,Walnut Creek,Contra Costa County,7.0,Layoff Permanent
03/22/2020,03/22/2020,05/14/2020,MONDRIAN,West Hollywood,Los Angeles County,115.0,Layoff Temporary
03/24/2020,03/20/2020,05/14/2020,FSC Corporation dba Il Pastaio,Beverly Hills,Los Angeles County,148.0,Layoff Unknown at thistime
03/12/2020,03/13/2020,05/14/2020,"Comedy Club of Los Angeles, LLC dbaHollywood Improv",Los Angeles,Los Angeles County,71.0,Layoff Temporary
03/20/2020,03/29/2020,05/14/2020,Spago -  Beverly Hills,Beverly Hills,Los Angeles County,133.0,Layoff Temporary
03/20/2020,03/17/2020,05/14/2020,"Rio Vista Development Company, LP dba TheGarland",North Hollywood,Los Angeles County,228.0,Layoff Temporary
03/20/2020,03/17/2020,05/14/2020,Sheraton Los Angeles San Gabriel,San Gabriel,Los Angeles County,106.0,Layoff Temporary
03/20/2020,03/16/2020,05/14/2020,"Sprout JK Coffee, LLC dba Destroyer Store",Culver City,Los Angeles County,15.0,Layoff Temporary
03/20/2020,03/16/2020,05/14/2020,"Tsubaki, LLC dba Ototo",Los Angeles,Los Angeles County,18.0,Layoff Temporary
03/19/2020,03/19/2020,05/14/2020,Culver West LP - Playa Provisions,Playa Del Rey,Los Angeles County,53.0,Layoff Temporary
03/31/2020,04/03/2020,05/14/2020,"AST Textile Group, Inc.",Hawthorne,Los Angeles County,43.0,Closure Temporary
03/20/2020,03/18/2020,05/14/2020,"Fort Baker Retreat, Subtenant, LLC dba, TheLodge at the Golden Gate",Sausalito,Marin County,300.0,Layoff Temporary
04/27/2020,04/27/2020,05/14/2020,"Clearedge Lending,",Aliso Viejo,Orange County,11.0,Layoff Permanent
03/12/2020,03/13/2020,05/14/2020,"Irvine Comedy Club, LLC dba Irvine Improv",Irvine,Orange County,103.0,Layoff Temporary
03/12/2020,03/13/2020,05/14/2020,"Levity of Brea, LLC dba Brea Improv",Brea,Orange County,79.0,Layoff Temporary
03/20/2020,03/17/2020,05/14/2020,BAILEY FOOD AND BEVERAGE GROUP DBATHE LIBRARY GENTLEMEN'S,Anaheim,Orange County,155.0,Layoff Unknown at thistime
03/19/2020,03/19/2020,05/14/2020,Marriott Rancho Cordova,Rancho Cordova,Sacramento County,100.0,Layoff Unknown at thistime
03/12/2020,03/13/2020,05/14/2020,"Comedy Club of Brea, LLC dba Ontario Improv",Ontario,San Bernardino County,58.0,Layoff Temporary
03/28/2020,04/01/2020,05/14/2020,Valley Ho Hotels aka Kings Inn,San Diego,San Diego County,82.0,Layoff Unknown at thistime
03/28/2020,04/02/2020,05/14/2020,Westward Ho Hotel aka Kings Inn,San Diego,San Diego County,33.0,Layoff Temporary
03/25/2020,03/25/2020,05/14/2020,ANDRE-BOUDIN BAKERIES,San Marcos,San Diego County,33.0,Layoff Temporary
04/07/2020,04/01/2020,05/14/2020,Avianca,San Francisco,San Francisco County,1.0,Layoff Temporary
03/12/2020,03/13/2020,05/14/2020,"Comedy Club of San Jose, LLC dba San JoseImprov",San Jose,Santa Clara County,62.0,Layoff Temporary
05/01/2020,05/01/2020,05/14/2020,"Bright Event Rentals, LLC",Sonoma,Sonoma County,28.0,Layoff Permanent
04/28/2020,04/28/2020,05/14/2020,IVI Hotel Management,Tulare,Tulare County,11.0,Layoff Permanent
03/12/2020,03/13/2020,05/14/2020,"Comedy Club of Oxnard, LLC dba OxnardLevity Live",Oxnard,Ventura County,100.0,Layoff Temporary
03/31/2020,03/31/2020,05/14/2020,Urbane Cafe,Camarillo,Ventura County,8.0,Layoff Temporary
03/31/2020,03/31/2020,05/14/2020,URBANE CAFE,Oxnard,Ventura County,6.0,Layoff Temporary
04/28/2020,04/28/2020,05/14/2020,IVI Hotel Management of California,Davis,Yolo County,14.0,Layoff Permanent
03/22/2020,03/20/2020,05/14/2020,SCOTW lnc Pari-Mutuel Operations,Arcadia,Los Angeles County,178.0,Closure Temporary
05/04/2020,05/08/2020,05/14/2020,"Mattel HQ, Inc. dba Mattel",El Segundo,Los Angeles County,139.0,Layoff Temporary
03/18/2020,03/18/2020,05/14/2020,"Boudin Properties Operating Company, Inc.dba Boudin",San Francisco,San Francisco County,212.0,Layoff Permanent
03/23/2020,03/23/2020,05/14/2020,Grand Hyatt at SFO,San Francisco,San Francisco County,224.0,Layoff Temporary
03/26/2020,03/23/2020,05/14/2020,DAA Draexlmaier Automotive of America LLC,Livermore,Alameda County,99.0,Layoff Temporary
03/23/2020,03/23/2020,05/14/2020,"Lulu's Fashion Lounge, LLC",Chico,Butte County,213.0,Layoff Temporary
03/24/2020,03/24/2020,05/14/2020,FAA CONCORD H DBA CONCORD HONDA,Concord,Contra Costa County,49.0,Layoff Unknown at thistime
03/16/2020,03/16/2020,05/14/2020,"Sprout Bost, LLC",Los Angeles,Los Angeles County,56.0,Layoff Temporary
03/20/2020,03/20/2020,05/14/2020,Interspace Battery Company,West Covina,Los Angeles County,32.0,Closure Temporary
03/20/2020,03/20/2020,05/14/2020,Concorde Battery,West Covina,Los Angeles County,32.0,Layoff Temporary
03/20/2020,03/16/2020,05/14/2020,"Saffrronita, LLC dba Bavel",Los Angeles,Los Angeles County,122.0,Layoff Temporary
03/20/2020,03/16/2020,05/14/2020,"Tsubaki, LLC",Los Angeles,Los Angeles County,27.0,Layoff Temporary
03/20/2020,03/20/2020,05/14/2020,"Sprout LA, LLC",Torrance,Los Angeles County,11.0,Layoff Temporary
03/24/2020,03/26/2020,05/14/2020,Quail Lodge & Golf Club,Carmel,Monterey County,213.0,Layoff Temporary
05/07/2020,05/07/2020,05/14/2020,Aluminum Precision Products,Santa Ana,Orange County,82.0,Layoff Permanent
03/21/2020,03/20/2020,05/14/2020,"San Dimas Luggage Co., Inc.",Ontario,San Bernardino County,86.0,Closure Temporary
03/25/2020,03/26/2020,05/14/2020,"FISHERMAN'S WHARF SOURDOUGHFRENCH BREAD BAKERIES, INC DBABOUDIN",San Francisco,San Francisco County,4.0,Layoff Temporary
03/21/2020,03/21/2020,05/14/2020,HMSHost,San Francisco,San Francisco County,134.0,Layoff Temporary
03/31/2020,04/01/2020,05/14/2020,Crunch,San Mateo,San Mateo County,79.0,Layoff Temporary
03/18/2020,03/18/2020,05/14/2020,"Andre-Boudin Bakeries Inc., dba Boudin",San Jose,Santa Clara County,65.0,Layoff Permanent
05/08/2020,03/15/2020,05/14/2020,Roaring Camp Railroads,Felton,Santa Cruz County,48.0,Closure Temporary
05/04/2020,05/29/2020,05/13/2020,"Tulkoff Food Products West, Inc",Pittsburg,Contra Costa County,33.0,Closure Permanent
04/21/2020,04/21/2020,05/13/2020,Adventist Health Tehachapi Valley,Tehachapi,Kern County,3.0,Layoff Permanent
04/21/2020,04/21/2020,05/13/2020,Adventist Health Tehachapi Valley,Tehachapi,Kern County,10.0,Layoff Temporary
03/20/2020,03/17/2020,05/13/2020,BRIGHTON COLLECTIBLES LLC,Gardena,Los Angeles County,654.0,Closure Temporary
04/22/2020,04/23/2020,05/13/2020,The Cheesecake Factory Inc.,Agoura Hills,Los Angeles County,110.0,Layoff Temporary
04/13/2020,04/03/2020,05/13/2020,"Goodwill Industries of Southern California, LosAngeles County",Burbank,Los Angeles County,100.0,Layoff Temporary
04/13/2020,04/03/2020,05/13/2020,"Goodwill Industries of Southern California, LosAngeles County",Downey,Los Angeles County,24.0,Layoff Temporary
04/13/2020,04/03/2020,05/13/2020,"Goodwill Industries of Southern California, LosAngeles County",Hawthorne,Los Angeles County,20.0,Layoff Temporary
04/13/2020,04/03/2020,05/13/2020,"Goodwill Industries of Southern California, LosAngeles County",Montebello,Los Angeles County,483.0,Layoff Temporary
04/13/2020,04/03/2020,05/13/2020,"Goodwill Industries of Southern California, LosAngeles County",Northridge,Los Angeles County,506.0,Layoff Temporary
04/13/2020,04/03/2020,05/13/2020,"Goodwill Industries of Southern California, LosAngeles County",Pasadena,Los Angeles County,48.0,Layoff Temporary
05/06/2020,03/31/2020,05/13/2020,Tom's Restaurant,Pasadena,Los Angeles County,21.0,Layoff Temporary
05/07/2020,05/07/2020,05/13/2020,"Glassdoor, Inc.",Mill Valley,Marin County,81.0,Layoff Permanent
03/30/2020,05/05/2020,05/13/2020,Saddleback Valley Christian School,San Juan Capistrano,Orange County,150.0,Closure Permanent
04/22/2020,04/23/2020,05/13/2020,"The Cheesecake Factory, Inc.",Irvine,Orange County,17.0,Layoff Temporary
04/22/2020,04/09/2020,05/13/2020,Hardin Honda,Anaheim,Orange County,20.0,Layoff Permanent
05/04/2020,06/24/2020,05/13/2020,Marcos & Javier's LLC,Irvine,Orange County,165.0,Layoff Temporary
05/06/2020,04/06/2020,05/13/2020,"DH Dental Employment Services, LLC",Brea,Orange County,175.0,Layoff Temporary
05/07/2020,05/11/2020,05/13/2020,JC RESORTS DBA SURF & SAND RESORT,Laguna Beach,Orange County,255.0,Layoff Temporary
04/22/2020,04/27/2020,05/13/2020,ClearCaptions LLC,Roseville,Placer County,10.0,Layoff Temporary
04/27/2020,04/27/2020,05/13/2020,Augustine Casino,Coachella,Riverside County,71.0,Layoff Permanent
05/07/2020,05/11/2020,05/13/2020,JC RESORTS DBA CATHEDRAL CANYONGOLF CLUB,Cathedral City,Riverside County,7.0,Layoff Temporary
05/07/2020,05/11/2020,05/13/2020,JC RESORTS DBA LOS SERRANOS GOLFCLUB,Chino Hills,San Bernardino County,42.0,Layoff Temporary
05/07/2020,05/18/2020,05/13/2020,"Novolex Bagcraft, Inc.",Rancho Cucamonga,San Bernardino County,100.0,Layoff Temporary
05/07/2020,05/11/2020,05/13/2020,JC RESORTS LLC,Carlsbad,San Diego County,40.0,Layoff Temporary
04/23/2020,04/23/2020,05/13/2020,"C.R. Laurence Co., Inc.",San Diego,San Diego County,4.0,Layoff Temporary
05/08/2020,05/15/2020,05/13/2020,Stafford House International,San Francisco,San Francisco County,21.0,Layoff Temporary
05/07/2020,05/07/2020,05/13/2020,"Deliv, Inc., dba Deliv California Inc.",Menlo Park,San Mateo County,669.0,Layoff Permanent
05/01/2020,03/31/2020,05/13/2020,YMCA of San Francisco,San Mateo,San Mateo County,197.0,Layoff Temporary
05/06/2020,07/10/2020,05/13/2020,Safran Seats dba Safran,Santa Maria,Santa Barbara County,64.0,Layoff Permanent
05/06/2020,05/11/2020,05/13/2020,"Molecular Devices, LLC",San Jose,Santa Clara County,60.0,Layoff Temporary
05/07/2020,07/07/2020,05/13/2020,Rubrik,Palo Alto,Santa Clara County,57.0,Layoff Permanent
04/13/2020,04/10/2020,05/13/2020,Fox Factory Inc.,Watsonville,Santa Cruz County,85.0,Layoff Temporary
04/28/2020,04/28/2020,05/13/2020,IVI Hotel Management of California,Davis,Yolo County,1.0,Layoff Temporary
04/14/2020,03/10/2020,05/13/2020,Avis Budget Rental Services Inc.,Los Angeles,Los Angeles County,466.0,Layoff Temporary
05/07/2020,05/03/2020,05/13/2020,UNIVERSAL CITY STUDIOS DBAUNIVERSAL STUDIOS HOLLYWOOD,Universal City,Los Angeles County,3025.0,Layoff Temporary
05/07/2020,05/07/2020,05/13/2020,Queen Mary Hotel - Urban CommonsQueensway,Long Beach,Los Angeles County,480.0,Layoff Unknown at thistime
05/04/2020,04/23/2020,05/13/2020,"Southern Glazer&rsquo;s Wine and Spirits, LLC",Cerritos,Los Angeles County,10.0,Layoff Temporary
05/04/2020,05/11/2020,05/13/2020,Vista Metals Corp,Fontana,San Bernardino County,55.0,Layoff Permanent
04/22/2020,03/19/2020,05/13/2020,Sysco San Diego Inc.,Poway,San Diego County,116.0,Layoff Permanent
04/22/2020,04/08/2020,05/13/2020,Sysco San Diego,Poway,San Diego County,8.0,Layoff Temporary
03/25/2020,03/19/2020,05/13/2020,HOLIDAY INN SAN FRANCISCO GOLDENGATEWAY,San Francisco,San Francisco County,34.0,Layoff Temporary
04/02/2020,04/09/2020,05/13/2020,SFMOMA,San Francisco,San Francisco County,131.0,Layoff Permanent
05/07/2020,03/13/2020,05/13/2020,"California Teaching Fellows Foundation, dbaCTFF",Fresno,Fresno County,460.0,Layoff Temporary
03/30/2020,03/16/2020,05/13/2020,Granville Cafe,Encino,Los Angeles County,198.0,Layoff Temporary
03/30/2020,03/16/2020,05/13/2020,"Granville Cafe DBA Community Restaurants,Inc.",Burbank,Los Angeles County,150.0,Layoff Temporary
03/30/2020,03/16/2020,05/13/2020,"Granville Cafe DBA Granville Pasadena, LLC",Pasadena,Los Angeles County,100.0,Layoff Temporary
04/28/2020,03/20/2020,05/13/2020,Byer of California,Los Angeles,Los Angeles County,210.0,Layoff Temporary
05/05/2020,04/03/2020,05/13/2020,"Hop Skip & Jump Productions, Inc.",Santa Clarita,Los Angeles County,194.0,Layoff Temporary
05/05/2020,04/03/2020,05/13/2020,"Kenwood TV Productions, Inc.",Los Angeles,Los Angeles County,108.0,Layoff Temporary
05/05/2020,04/18/2020,05/13/2020,"12:05AM Productions, LLC",Los Angeles,Los Angeles County,107.0,Layoff Temporary
05/01/2020,03/19/2020,05/13/2020,Alright Media LLC,Walnut,Los Angeles County,3.0,Layoff Temporary
05/07/2020,05/07/2020,05/13/2020,Queen Mary Hotel,Long Beach,Los Angeles County,80.0,Layoff Unknown at thistime
05/07/2020,05/07/2020,05/13/2020,Sheraton Pasadena Hotel,Pasadena,Los Angeles County,102.0,Layoff Unknown at thistime
05/07/2020,05/07/2020,05/13/2020,Embassy Suites Anaheim North Hotel,Anaheim,Orange County,72.0,Layoff Unknown at thistime
05/08/2020,05/17/2020,05/13/2020,Cox Automotive,Oceanside,San Diego County,92.0,Layoff Temporary
05/07/2020,05/07/2020,05/13/2020,"Belmont Park Entertainment, LLC.",San Diego,San Diego County,145.0,Layoff Permanent
05/04/2020,04/30/2020,05/13/2020,Enterprise Rent A Car,San Francisco,San Francisco County,180.0,Layoff Permanent
04/28/2020,03/20/2020,05/13/2020,"Byer California, Inc.",San Francisco,San Francisco County,215.0,Layoff Temporary
05/08/2020,06/05/2020,05/13/2020,"Move, Inc.",Santa Clara,Santa Clara County,80.0,Layoff Permanent
05/07/2020,03/17/2020,05/13/2020,Diocese of Monterey,Los Gatos,Santa Cruz County,1.0,Layoff Temporary
05/07/2020,05/29/2020,05/13/2020,Diocese of Monterey,Santa Cruz,Santa Cruz County,58.0,Layoff Temporary
04/20/2020,03/18/2020,05/13/2020,Finish Line At Macy's,Thousand Oaks,Ventura County,16.0,Closure Temporary
05/07/2020,05/07/2020,05/13/2020,Milgard Windows & Doors,Simi Valley,Ventura County,50.0,Layoff Permanent
03/20/2020,03/17/2020,05/12/2020,AMERICAN POLY-FOAM CO,Hayward,Alameda County,67.0,Layoff Temporary
05/05/2020,04/13/2020,05/12/2020,"Tesla, Inc",Fremont,Alameda County,11083.0,Layoff Temporary
05/05/2020,05/11/2020,05/12/2020,ISE Labs,Fremont,Alameda County,68.0,Layoff Temporary
05/05/2020,07/04/2020,05/12/2020,glassbaby LLC,Berkeley,Alameda County,58.0,Closure Permanent
05/05/2020,07/06/2020,05/12/2020,VFC,Alameda,Alameda County,4.0,Closure Permanent
03/19/2020,03/20/2020,05/12/2020,CR FIRELINE,Martinez,Contra Costa County,19.0,Layoff Temporary
05/06/2020,05/06/2020,05/12/2020,Robert Half International Inc.,San Ramon,Contra Costa County,203.0,Layoff Temporary
05/05/2020,04/03/2020,05/12/2020,"C&J Well Services, Inc., a Basic EnergyServices, Inc. Company",Bakersfield,Kern County,52.0,Layoff Permanent
05/01/2020,05/16/2020,05/12/2020,Taft Correctional Institution,Taft,Kern County,29.0,Layoff Permanent
03/19/2020,03/20/2020,05/12/2020,ROMANA HOLLYWOOD DBA TRASTEVERERESTAURANT,Los Angeles,Los Angeles County,40.0,Layoff Temporary
04/17/2020,04/20/2020,05/12/2020,thyssenkrupp Aerospace NA,Santa Fe Springs,Los Angeles County,17.0,Layoff Temporary
05/01/2020,05/01/2020,05/12/2020,Gulfstream,Long Beach,Los Angeles County,91.0,Layoff Permanent
05/04/2020,04/28/2020,05/12/2020,Peaksware Holdings LLC,Van Nuys,Los Angeles County,111.0,Closure Permanent
05/06/2020,05/11/2020,05/12/2020,"HCFS Health Care Financial Services, LLC",West Hills,Los Angeles County,153.0,Layoff Temporary
05/06/2020,05/06/2020,05/12/2020,Staub Metals Corporation,Paramount,Los Angeles County,4.0,Layoff Permanent
05/05/2020,05/05/2020,05/12/2020,"Altman Specialty Plants, LLC (ASP)",Salinas,Monterey County,50.0,Layoff Permanent
04/29/2020,05/01/2020,05/12/2020,Western Transit Systems Inc.,Garden Grove,Orange County,39.0,Closure Unknown at thistime
05/06/2020,05/08/2020,05/12/2020,"Voxpro Group, LLC",Folsom,Sacramento County,200.0,Layoff Permanent
04/13/2020,04/03/2020,05/12/2020,"Goodwill Industries of Southern California, SanBernardino County",Redlands,San Bernardino County,134.0,Layoff Temporary
04/13/2020,04/03/2020,05/12/2020,"Goodwill Retail Services, Los Angeles County",Ontario,San Bernardino County,52.0,Layoff Temporary
03/20/2020,03/17/2020,05/12/2020,URBAN KITCHEN GROUP,San Diego,San Diego County,215.0,Layoff Temporary
04/28/2020,05/01/2020,05/12/2020,"Ticketmaster division of Live NationWorldwide, Inc.",San Diego,San Diego County,4.0,Layoff Temporary
04/28/2020,05/01/2020,05/12/2020,"Ticketmaster division of Live NationaWorldwide, Inc.",San Francisco,San Francisco County,9.0,Layoff Temporary
05/05/2020,04/27/2020,05/12/2020,"The Nielson Company (US), LLC",San Francisco,San Francisco County,38.0,Layoff Temporary
05/04/2020,05/04/2020,05/12/2020,"German Motors Corporation, dba BMW of SanFrancisco",San Francisco,San Francisco County,163.0,Layoff Temporary
05/05/2020,04/13/2020,05/12/2020,Tesla Inc.,Lathrop,San Joaquin County,156.0,Layoff Temporary
04/14/2020,04/15/2020,05/12/2020,"Cutera, Inc.",Brisbane,San Mateo County,154.0,Layoff Temporary
05/05/2020,05/29/2020,05/12/2020,"Forest Home, Inc.",Oak View,Ventura County,20.0,Closure Temporary
04/30/2020,05/15/2020,05/12/2020,Screen Actors Guild-American Federation ofTelevision & Radio Artists (&ldquo;SAG-AFTRA&rdquo;),Los Angeles,Los Angeles County,27.0,Layoff Permanent
