"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than 10.0 percent","Margin of Error!!Total!!Less than 10.0 percent","Estimate!!Total!!10.0 to 14.9 percent","Margin of Error!!Total!!10.0 to 14.9 percent","Estimate!!Total!!15.0 to 19.9 percent","Margin of Error!!Total!!15.0 to 19.9 percent","Estimate!!Total!!20.0 to 24.9 percent","Margin of Error!!Total!!20.0 to 24.9 percent","Estimate!!Total!!25.0 to 29.9 percent","Margin of Error!!Total!!25.0 to 29.9 percent","Estimate!!Total!!30.0 to 34.9 percent","Margin of Error!!Total!!30.0 to 34.9 percent","Estimate!!Total!!35.0 to 39.9 percent","Margin of Error!!Total!!35.0 to 39.9 percent","Estimate!!Total!!40.0 to 49.9 percent","Margin of Error!!Total!!40.0 to 49.9 percent","Estimate!!Total!!50.0 percent or more","Margin of Error!!Total!!50.0 percent or more","Estimate!!Total!!Not computed","Margin of Error!!Total!!Not computed"
"0500000US06033","Lake County, California","8809","596","393","174","545","176","590","185","873","266","788","215","698","181","661","158","976","238","2311","299","974","223"
"0500000US06043","Mariposa County, California","2390","335","264","101","159","77","130","62","133","64","271","115","119","82","199","118","177","88","636","196","302","128"
"0500000US06115","Yuba County, California","10792","529","135","87","890","241","1135","286","1613","308","987","187","1047","232","938","258","920","210","2504","287","623","185"
"0500000US06013","Contra Costa County, California","134749","2097","3485","459","8943","784","15733","1079","16900","951","15819","1021","11233","800","9333","793","13116","886","34047","1389","6140","642"
"0500000US06035","Lassen County, California","3048","279","95","48","179","76","369","90","430","111","340","99","293","119","143","76","209","81","716","143","274","121"
"0500000US06083","Santa Barbara County, California","69322","1124","1917","311","3776","445","6513","518","8194","727","7851","638","6413","562","4898","546","7102","582","19467","898","3191","348"
"0500000US06097","Sonoma County, California","74246","1572","2043","320","4370","436","7610","563","8624","697","8787","671","7039","603","5581","536","6668","591","19621","985","3903","418"
"0500000US06025","Imperial County, California","18340","924","712","175","1331","247","2060","318","1629","354","1763","317","1680","252","1246","297","1534","279","4904","547","1481","240"
"0500000US06051","Mono County, California","1833","327","133","103","147","102","168","109","395","141","193","109","297","149","49","54","79","72","164","92","208","117"
