"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M"
"0500000US06001","Alameda County, California","267736","2179","8533","657","20865","948","31796","1306","35515","1368","31097","1194","24221","1164","17519","947","23806","1030","62990","1462","11394","716"
"0500000US06067","Sacramento County, California","235947","2352","5666","465","15188","909","26183","1135","28465","1032","26204","1216","20630","1056","15473","851","23228","1063","63634","1776","11276","722"
"0500000US06055","Napa County, California","17776","645","586","157","1284","190","1681","278","2197","270","1988","310","1684","248","1314","232","1827","281","4246","363","969","188"
"0500000US06053","Monterey County, California","61690","1002","1360","255","3535","401","7177","597","7037","541","7004","537","6519","490","4925","551","6531","546","14834","824","2768","344"
"0500000US06091","Sierra County, California","231","94","0","12","17","23","38","34","18","19","12","16","63","56","11","19","3","7","64","57","5","7"
"0500000US06073","San Diego County, California","525090","3504","10260","689","30048","1296","54100","1798","61195","1833","60139","1738","51094","1502","36113","1480","54629","1783","144189","2566","23323","1053"
"0500000US06113","Yolo County, California","35497","888","1006","247","2209","359","3684","373","3519","370","3948","525","3176","465","2091","363","2473","374","10890","557","2501","331"
"0500000US06023","Humboldt County, California","23414","897","599","170","1155","254","2203","345","1911","315","2359","391","2315","337","1685","294","2262","353","7140","632","1785","312"
"0500000US06003","Alpine County, California","48","26","9","8","10","12","6","6","4","6","2","4","0","12","0","12","3","4","4","5","10","9"
"0500000US06045","Mendocino County, California","13917","617","527","174","642","179","1187","253","1393","264","1366","280","1040","197","1030","270","1158","277","4000","411","1574","260"
"0500000US06087","Santa Cruz County, California","38883","1111","1245","291","2178","327","3066","422","3600","457","4208","377","3407","382","3164","457","3693","557","12210","767","2112","340"
"0500000US06037","Los Angeles County, California","1791480","6379","45569","1489","108581","1842","173980","2783","194136","2423","189230","3095","161146","3146","124688","2383","179183","2599","528626","4288","86341","2067"
"0500000US06065","Riverside County, California","245948","2861","5092","479","12460","870","24845","1165","27111","897","25467","1077","22330","1172","18945","860","24645","1157","71358","1682","13695","845"
"0500000US06085","Santa Clara County, California","274867","2527","10512","752","24979","1217","36064","1367","36844","1368","31187","1168","25013","1045","16782","931","22933","1064","59812","1578","10741","616"
"0500000US06041","Marin County, California","38058","924","1699","287","2878","421","4139","479","4328","407","4097","405","3240","503","2236","321","3379","435","9943","700","2119","378"
"0500000US06093","Siskiyou County, California","6624","384","414","140","610","162","580","161","593","149","467","106","578","117","433","137","644","144","1645","234","660","116"
"0500000US06089","Shasta County, California","25752","798","675","148","1650","313","2456","374","2695","358","2889","368","2274","275","1351","236","2653","359","7509","550","1600","240"
"0500000US06015","Del Norte County, California","3684","414","150","87","261","118","415","130","378","151","366","138","279","113","247","101","272","115","912","195","404","137"
"0500000US06079","San Luis Obispo County, California","41331","1122","1074","281","2865","456","4289","480","4318","581","5177","553","3520","435","2649","331","3940","479","10865","619","2634","386"
"0500000US06021","Glenn County, California","4036","356","161","81","551","206","287","117","340","104","565","210","291","131","161","98","232","117","1031","248","417","101"
"0500000US06007","Butte County, California","35439","1020","875","212","2142","304","2910","402","3422","396","3234","385","3200","425","2447","334","3690","541","11183","597","2336","342"
"0500000US06063","Plumas County, California","2179","261","50","53","302","114","203","99","228","114","264","96","169","95","130","67","195","93","510","141","128","84"
"0500000US06029","Kern County, California","112518","2100","3248","488","8102","804","12511","951","13342","934","10926","863","9373","748","7414","727","10991","794","29065","1213","7546","665"
"0500000US06059","Orange County, California","440104","3493","10048","679","24638","1134","41834","1437","52825","1687","50366","1595","43352","1439","31255","1397","43999","1661","121332","2634","20455","1116"
"0500000US06009","Calaveras County, California","3891","416","113","75","166","119","234","124","445","180","403","137","349","114","208","127","386","159","1159","254","428","152"
"0500000US06101","Sutter County, California","13800","535","307","111","1024","208","1728","303","1543","305","1841","299","1575","282","838","174","1494","254","2566","301","884","178"
"0500000US06081","San Mateo County, California","105105","1268","3764","444","8576","575","13510","794","13800","741","11749","660","8287","709","6902","629","8998","578","25314","1124","4205","392"
"0500000US06109","Tuolumne County, California","6771","605","289","127","442","188","723","239","715","242","759","208","497","187","617","193","503","178","1534","391","692","226"
"0500000US06077","San Joaquin County, California","100630","1634","2285","319","6052","587","10811","834","12460","820","10515","767","9787","728","6688","614","9953","688","26182","907","5897","548"
"0500000US06005","Amador County, California","3292","369","77","68","390","152","332","95","235","90","179","73","339","127","229","123","405","171","814","205","292","92"
"0500000US06047","Merced County, California","38228","911","1273","315","3047","457","3856","502","4364","597","3982","496","3412","404","2391","371","3717","415","8676","706","3510","393"
"0500000US06049","Modoc County, California","857","145","52","38","130","65","133","60","101","64","34","32","33","32","43","36","48","48","160","63","123","46"
"0500000US06027","Inyo County, California","2973","221","184","65","214","77","291","117","373","125","238","125","595","186","71","45","115","60","544","171","348","80"
"0500000US06099","Stanislaus County, California","73603","1560","1966","325","4960","551","7819","602","8342","627","8314","777","6386","710","5311","622","6743","607","19132","1050","4630","497"
"0500000US06103","Tehama County, California","8450","529","181","110","627","205","803","181","724","201","944","241","794","180","448","175","876","217","2198","352","855","221"
"0500000US06069","San Benito County, California","6476","363","221","103","488","139","739","191","846","180","871","203","608","171","374","100","720","211","1289","238","320","78"
"0500000US06017","El Dorado County, California","16182","741","414","143","1342","245","1615","264","1846","347","2084","321","1246","273","1039","231","1541","341","3674","444","1381","286"
"0500000US06075","San Francisco County, California","224398","1874","20273","972","27123","1080","32525","1199","27587","1156","24723","904","16374","1027","10220","635","15480","954","40916","1443","9177","729"
"0500000US06107","Tulare County, California","58792","1283","1846","299","4759","548","5681","405","6589","607","5334","506","5040","602","4077","442","6064","549","15107","955","4295","467"
"0500000US06057","Nevada County, California","10498","624","245","111","656","189","985","196","1294","255","997","227","963","245","519","153","997","212","2966","416","876","214"
"0500000US06039","Madera County, California","16132","812","390","136","871","227","1498","300","1747","319","1830","353","1489","300","945","293","1988","366","3761","485","1613","323"
"0500000US06105","Trinity County, California","1928","252","76","54","55","48","87","58","289","108","129","85","231","119","179","115","205","89","463","141","214","112"
"0500000US06071","San Bernardino County, California","256893","2797","5639","594","14497","965","24226","1238","29627","1349","27330","1163","23093","1228","19071","1013","27216","1386","73173","2046","13021","912"
"0500000US06061","Placer County, California","39961","1056","994","245","2539","322","4957","514","4848","422","4512","403","3651","438","3146","368","3389","447","9550","741","2375","380"
"0500000US06095","Solano County, California","58647","1070","1303","276","3751","455","6430","644","7188","610","7073","586","5915","547","4296","537","5020","420","15133","885","2538","388"
"0500000US06011","Colusa County, California","2742","259","75","50","190","73","333","93","481","134","306","106","153","64","196","98","235","103","527","140","246","89"
"0500000US06031","Kings County, California","20621","763","675","168","1707","259","2566","405","2498","366","2301","361","1897","338","1293","234","1872","352","4321","459","1491","232"
"0500000US06019","Fresno County, California","143680","1727","4319","463","9013","708","14021","908","15679","873","14682","863","11814","762","8851","766","14307","875","42103","1380","8891","537"
"0500000US06111","Ventura County, California","99672","1663","2156","290","5108","529","9121","684","12108","763","11568","799","9591","617","7888","693","11013","778","26642","1318","4477","403"
