Notice Date,Effective Date,Received Date,Company,City,County,Employees,Layoff/Closure
06/16/2020,08/17/2020,06/26/2020,"MeUndies, Inc.",Los Angeles,Los Angeles County,101,Layoff Permanent
06/16/2020,08/21/2020,06/26/2020,"GEP Administrative Services, Inc. dbaEntertainment Partners",Burbank,Los Angeles County,23,Layoff Permanent
06/16/2020,08/21/2020,06/26/2020,"GEP Administrative Services, Inc. dbaEntertainment Partners",Burbank,Los Angeles County,55,Layoff Temporary
06/12/2020,06/15/2020,06/26/2020,"Hillphoenix dba Anthony, Inc.",Sylmar,Los Angeles County,374,Layoff Temporary
06/12/2020,06/15/2020,06/26/2020,"Trend Offset Printing Services, Inc.",Maywood,Los Angeles County,88,Layoff Permanent
04/06/2020,03/17/2020,06/26/2020,Rowtown Inc. dba The Fish Hopper Restaurant,Monterey,Monterey County,117,Layoff Temporary
04/06/2020,04/06/2020,06/26/2020,Hoag Memorial Hospital Presbyterian,Newport Beach,Orange County,187,Layoff Temporary
04/03/2020,04/02/2020,06/26/2020,"Tropitone Furniture Company, Inc.",Irvine,Orange County,74,Layoff Permanent
06/26/2020,06/30/2020,06/26/2020,P.F. Chang&rsquo;s China Bistro,Sacramento,Sacramento County,55,Closure Permanent
05/07/2020,03/23/2020,06/26/2020,JC Resorts,La Jolla,San Diego County,528,Layoff Temporary
06/12/2020,06/11/2020,06/26/2020,BiRite Foodservice Distributors,Brisbane,San Mateo County,43,Layoff Permanent
04/06/2020,04/13/2020,06/26/2020,nVent Thermal LLC,Redwood City,San Mateo County,67,Layoff Temporary
04/14/2020,03/30/2020,06/26/2020,"CorePower Yoga, LLC dba CorePower Yoga",Palo Alto,Santa Clara County,187,Layoff Temporary
04/14/2020,03/30/2020,06/26/2020,"CorePower Yoga, LLC dba CorePower Yoga",San Jose,Santa Clara County,243,Layoff Temporary
04/03/2020,03/16/2020,06/26/2020,Maria's Holding Corp. dba Maria's ItalianKitchen Inc.,Oxnard,Ventura County,37,Closure Permanent
04/10/2020,04/19/2020,06/26/2020,Rapid Displays Inc.,Union City,Alameda County,282,Layoff Temporary
06/16/2020,05/08/2020,06/26/2020,Universal Content Production,Los Angeles,Los Angeles County,3,Layoff Permanent
06/17/2020,03/13/2020,06/26/2020,"ELIZA TOUR, LLC",Los Angeles,Los Angeles County,51,Closure Temporary
06/24/2020,08/25/2020,06/26/2020,Raley's DBA Food Source,Sacramento,Sacramento County,101,Closure Permanent
06/24/2020,06/16/2020,06/26/2020,American Conservatory Theatre Foundation,San Francisco,San Francisco County,15,Layoff Permanent
06/26/2020,08/31/2020,06/26/2020,Akima Infrastructure Services (AIS),Livermore,Alameda County,499,Layoff Permanent
04/14/2020,04/01/2020,06/26/2020,"St. John Knits, Inc.",Irvine,Orange County,276,Layoff Temporary
06/09/2020,06/07/2020,06/25/2020,Bay Club Pleasanton,Pleasanton,Alameda County,255,Layoff Permanent
06/12/2020,06/16/2020,06/25/2020,True World Foods San Francisco LLC,San Leandro,Alameda County,27,Layoff Permanent
