Notice_Date,Effective_Date,Received_Date,Company,City,County,No_employees,Layoff/Closure
06/23/2020,06/30/2020,07/07/2020,"Printograph, Inc. dba GotPrint.com",Burbank,Los Angeles County ,88,Layoff Permanent
06/26/2020,08/24/2020,07/07/2020,"Warmelin Precision Products, LLC",Hawthorne,Los Angeles County ,65,Layoff Permanent
06/26/2020,06/26/2020,07/07/2020,Hyatt Centric The Pike Long Beach,Long Beach,Los Angeles County ,2,Layoff Permanent
03/28/2020,03/30/2020,07/07/2020,"Alclear, LLC",San Jose,Santa Clara County ,16,Layoff Temporary
03/16/2020,03/16/2020,07/07/2020,YMCA - Greater Whittier,Whittier,Los Angeles County ,118,Closure Temporary
04/24/2020,04/22/2020,07/07/2020,Total Airport Services/LAX,Los Angeles,Los Angeles County ,84,Closure Temporary
03/16/2020,03/16/2020,07/07/2020,YMCA - Camp Abrolado,Angelus Oaks,San Bernardino County ,8,Closure Temporary
06/15/2020,06/30/2020,07/07/2020,"Artisan Restaurant Collection for Sodexo, Inc.",San Francisco,San Francisco County ,52,Layoff Permanent
04/20/2020,04/17/2020,07/07/2020,Parc 55 San Francisco - A Hilton Hotel,San Francisco,San Francisco County ,330,Layoff Temporary
06/30/2020,06/30/2020,07/07/2020,New West Symphony Association,Thousand Oaks,Ventura County ,59,Layoff Temporary
07/01/2020,06/30/2020,07/06/2020,Crown Plaza Concord/Walnut Creek,Concord,Contra Costa County ,100,Layoff Temporary
06/30/2020,05/03/2020,07/06/2020,DELUXE CREATIVE SERVICES,Los Angeles,Los Angeles County ,44,Layoff Temporary
06/30/2020,05/03/2020,07/06/2020,DELUXE CREATIVE SERVICES,Santa Monica,Los Angeles County ,40,Layoff Permanent
06/30/2020,05/17/2020,07/06/2020,DELUXE CREATIVE SERVICES,Burbank,Los Angeles County ,138,Layoff Temporary
06/30/2020,06/30/2020,07/06/2020,DELUXE CREATIVE SERVICES,Los Angeles,Los Angeles County ,43,Layoff Permanent
07/01/2020,07/01/2020,07/06/2020,ELECTRO RENT,Canoga Park,Los Angeles County ,25,Layoff Permanent
07/01/2020,08/31/2020,07/06/2020,Claremont McKenna College,Claremont,Los Angeles County ,29,Layoff Temporary
04/02/2020,03/18/2020,07/06/2020,Carmel Valley Ranch,Carmel,Monterey County ,588,Closure Temporary
07/02/2020,07/02/2020,07/06/2020,"King's Casino Management Corp., dba The Saloon at Stones Gambling Hall",Citrus Heights,Sacramento County ,319,Layoff Temporary
07/01/2020,09/04/2020,07/06/2020,"CoreLogic Credco, LLC",San Diego,San Diego County ,137,Layoff Permanent
07/02/2020,07/07/2020,07/06/2020,McCalls Catering & Events,San Francisco,San Francisco County ,424,Layoff Temporary
04/06/2020,04/13/2020,07/06/2020,Reputation.com,Redwood City,San Mateo County ,6,Layoff Temporary
04/29/2020,03/17/2020,07/06/2020,"Air Systems, Inc.",San Jose,Santa Clara County ,244,Layoff Temporary
07/01/2020,07/01/2020,07/06/2020,PACIFIC HOTEL MANAGEMENT,Palo Alto,Santa Clara County ,71,Layoff Permanent
07/01/2020,07/01/2020,07/06/2020,PACIFIC HOTEL MANAGEMENT,Palo Alto,Santa Clara County ,103,Layoff Permanent
07/01/2020,09/01/2020,07/06/2020,Varian Medical Systems,Palo Alto,Santa Clara County ,101,Layoff Permanent
04/01/2020,03/24/2020,07/06/2020,"Museum of Contemporary Art, Los Angeles",Los Angeles,Los Angeles County ,158,Layoff Unknown at this time
04/20/2020,04/21/2020,07/03/2020,San Joaquin Valley College Inc.,Hanford,Kings County ,7,Layoff Permanent
04/16/2020,03/16/2020,07/03/2020,"Rudy's Hollywood, LLC",Los Angeles,Los Angeles County ,106,Layoff Temporary
04/16/2020,03/23/2020,07/03/2020,Tri-Mountain,Irwindale,Los Angeles County ,59,Layoff Temporary
07/01/2020,06/30/2020,07/03/2020,United Cerebral Palsy Association of San Diego County,San Diego,San Diego County ,89,Layoff Temporary
04/03/2020,04/03/2020,07/03/2020,"Eye-Fi Holdings, LLC",Solana Beach,San Diego County ,1,Layoff Temporary
07/01/2020,08/31/2020,07/03/2020,"J.C. Penney Corporation, Inc.",Lathrop,San Joaquin County ,52,Closure Permanent
03/27/2020,03/16/2020,07/03/2020,California Dental Arts,Cupertino,Santa Clara County ,21,Layoff Temporary
06/18/2020,08/17/2020,07/03/2020,Hertz Corporation,San Jose,Santa Clara County ,115,Layoff Permanent
04/15/2020,04/15/2020,07/03/2020,All Recreational Equipment Inc. dba REI,Santa Rosa,Sonoma County ,83,Closure Temporary
04/20/2020,04/21/2020,07/03/2020,"San Joaquin Valley College, Inc.",Porterville,Tulare County ,7,Layoff Permanent
04/17/2020,04/17/2020,07/03/2020,Rapid Displays Inc.,Union City,Alameda County ,289,Layoff Temporary
06/30/2020,03/23/2020,07/03/2020,Golden Valley Health Centers,Ceres,Stanislaus County ,27,Layoff Temporary
06/30/2020,05/09/2020,07/03/2020,Golden Valley Health Centers,Ceres,Stanislaus County ,2,Layoff Permanent
05/26/2020,05/26/2020,07/03/2020,The Langham Huntington Pasadena,Pasadena,Los Angeles County ,243,Layoff Permanent
03/26/2020,03/20/2020,07/03/2020,Las Alcobas Resort & Spa,Saint Helena,Napa County ,153,Layoff Temporary
04/08/2020,03/23/2020,07/03/2020,"SAINT-GOBAIN, SEKURIT",Garden Grove,Orange County ,119,Layoff Temporary
06/09/2020,06/07/2020,07/02/2020,Bay Club Walnut Creek,Walnut Creek,Contra Costa County ,291,Layoff Permanent
04/15/2020,03/26/2020,07/02/2020,Adecco at Air Fayre USA inc.,Gardena,Los Angeles County ,310,Layoff Temporary
06/22/2020,03/23/2020,07/02/2020,Swisstex California Inc,Los Angeles,Los Angeles County ,9,Layoff Temporary
04/15/2020,03/30/2020,07/02/2020,"Western Dental Services, Inc.",Orange,Orange County ,504,Layoff Temporary
06/09/2020,06/07/2020,07/02/2020,Bay Club at the Gateway,San Francisco,San Francisco County ,62,Layoff Permanent
06/17/2020,07/01/2020,07/02/2020,THE TECH INTERACTIVE,San Jose,Santa Clara County ,64,Layoff Unknown at this time
04/20/2020,04/17/2020,07/02/2020,"Guitar Center, Inc.",Thousand Oaks,Ventura County ,55,Layoff Temporary
04/14/2020,04/12/2020,07/02/2020,Los Angeles Philharmonic Association,Los Angeles,Los Angeles County ,88,Layoff Temporary
06/24/2020,06/19/2020,07/02/2020,Grand Hyatt at SFO,San Francisco,San Francisco County ,15,Layoff Permanent
04/15/2020,03/16/2020,07/02/2020,BON APPETIT Management Company,San Francisco,San Francisco County ,1529,Layoff Temporary
04/20/2020,04/01/2020,07/02/2020,"Kinestral Technologies, Inc.",Hayward,Alameda County ,71,Layoff Temporary
03/17/2020,03/17/2020,07/02/2020,"Hof's Hut Restaurants, Inc.",Long Beach,Los Angeles County ,47,Closure Temporary
03/17/2020,03/17/2020,07/02/2020,"Hof's Hut Restaurants, Inc.",Torrance,Los Angeles County ,100,Closure Temporary
03/17/2020,03/17/2020,07/02/2020,"Hof's Hut Restaurants, Inc. dba Lucille's Smokehouse Barbque",Long Beach,Los Angeles County ,80,Closure Temporary
03/17/2020,03/17/2020,07/02/2020,"Hof's Hut Restaurants, Inc. dba Saint & Second",Long Beach,Los Angeles County ,85,Closure Temporary
03/17/2020,03/17/2020,07/02/2020,"Hof's Hut Restaurant, inc. dba Lucille's Smokehouse Bar-B-Que",Torrance,Los Angeles County ,66,Closure Temporary
04/19/2020,04/03/2020,07/02/2020,"MV Transportation, Inc.",Los Angeles,Los Angeles County ,18,Layoff Temporary
04/19/2020,04/03/2020,07/02/2020,"MV Transportation, Inc.",Los Angeles,Los Angeles County ,35,Layoff Temporary
04/19/2020,04/06/2020,07/02/2020,MV Transportation,Los Angeles,Los Angeles County ,20,Layoff Temporary
03/17/2020,03/17/2020,07/02/2020,"Hof's Hut Restaurant, Inc. dba Lucille's Smokehouse Bar-B-Que.",Orange,Orange County ,36,Closure Temporary
03/23/2020,03/23/2020,07/02/2020,"Hof's Hut Restaurant, Inc.",Los Alamitos,Orange County ,56,Closure Temporary
04/17/2020,04/17/2020,07/02/2020,"Accredited Debt Relief, Inc.",San Diego,San Diego County ,320,Layoff Permanent
06/16/2020,03/31/2020,07/02/2020,PLAYERS CASINO,Ventura,Ventura County ,183,Layoff Temporary
06/09/2020,06/07/2020,07/01/2020,Bay Club Redondo Beach,Redondo Beach,Los Angeles County ,102,Layoff Permanent
06/09/2020,06/07/2020,07/01/2020,Bay Club Santa Monica,Santa Monica,Los Angeles County ,82,Layoff Permanent
06/09/2020,06/07/2020,07/01/2020,Bay Club Rolling Hills,Rolling Hills Estates,Los Angeles County ,64,Layoff Permanent
06/19/2020,08/21/2020,07/01/2020,"Weber Metals, Inc",Paramount,Los Angeles County ,169,Layoff Permanent
06/09/2020,06/07/2020,07/01/2020,Bay Club Ross Valley,Kentfield,Marin County ,51,Layoff Permanent
06/09/2020,06/07/2020,07/01/2020,StoneTree Golf Club,Novato,Marin County ,32,Layoff Permanent
06/23/2020,06/23/2020,07/01/2020,The Freeman Company LLC,Anaheim,Orange County ,29,Layoff Permanent
06/18/2020,03/20/2020,07/01/2020,Hyatt Regency Sacramento,Sacramento,Sacramento County ,203,Layoff Permanent
06/18/2020,06/17/2020,07/01/2020,"Granite Summit, Inc",Running Springs,San Bernardino County ,60,Layoff Unknown at this time
06/18/2020,06/17/2020,07/01/2020,Pali Camp,Running Springs,San Bernardino County ,71,Layoff Unknown at this time
06/18/2020,06/17/2020,07/01/2020,"Pali Institute, Inc",Running Springs,San Bernardino County ,35,Layoff Unknown at this time
06/18/2020,06/17/2020,07/01/2020,"Pali Mountain Conference Center, Inc",Running Springs,San Bernardino County ,17,Layoff Unknown at this time
06/09/2020,06/07/2020,07/01/2020,Bay Club SF Tennis,San Francisco,San Francisco County ,64,Layoff Permanent
6/30/14,6/18/14,7/1/14,Symantec Corporation,Mountain View,,51.0,Layoff Permanent
7/2/14,10/1/14,7/7/14,Brooks Automation Inc.,Petaluma,,89.0,Closure Permanent
7/1/14,9/15/14,7/7/14,"Crissair, Inc",Palmdale,,170.0,Closure Permanent
6/30/14,9/12/14,7/7/14,"Post Foods, LLC",Modesto,,52.0,Closure Permanent
6/30/14,9/26/14,7/7/14,"Post Foods, LLC",Modesto,,6.0,Closure Permanent
7/8/14,9/7/14,7/8/14,"Bimbo Bakeries USA, Inc.",Fresno,,73.0,Layoff Permanent
7/9/14,9/7/14,7/10/14,"Buca Restaurants 2, Inc./Buca di",Irvine,,87.0,Closure Permanent
7/17/14,9/15/14,7/17/14,Microsift and Nokia Inc,San Diego,,378.0,Layoff Permanent
7/15/14,9/15/14,7/17/14,Xerox Business Services,Bakersfield,,38.0,Layoff Permanent
7/8/14,11/14/14,7/29/14,American Medical Response of,Torrance,,120.0,Closure Permanent
7/18/14,9/19/14,7/29/14,Boeing Company,El Segundo,,23.0,Layoff Permanent
7/18/14,9/19/14,7/29/14,Boeing Company,Long Beach,,35.0,Layoff Permanent
7/18/14,9/16/14,7/29/14,Grand Cafe,San Francisco,,2.0,Layoff Permanent
7/25/14,9/25/14,7/29/14,Grand Cafe,San Francisco,,1.0,Layoff Permanent
7/15/14,9/15/14,7/29/14,Intuit Inc.,Folsom,,10.0,Layoff Permanent
7/15/14,9/15/14,7/29/14,Intuit Inc.,Menlo Park,,7.0,Layoff Permanent
7/15/14,9/15/14,7/29/14,Intuit Inc.,Mountain View,,65.0,Layoff Permanent
7/7/14,9/7/14,7/29/14,ITT Cannon LLC,Santa Ana,,7.0,Layoff Permanent
7/7/14,8/30/14,7/29/14,"McDonald's Restaurant/Nicwil, Inc.",Los Angeles,,55.0,Closure Permanent
7/11/14,9/9/14,7/29/14,Temple Community Hospital,Los Angeles,,288.0,Closure unknown at this time
7/23/14,9/26/14,7/30/14,Broadcom Corporation,Irvine,,240.0,Layoff Permanent
7/23/14,9/26/14,7/30/14,Broadcom Corporation,San Diego,,203.0,Layoff Permanent
7/23/14,9/26/14,7/30/14,Broadcom Corporation,San Jose,,7.0,Layoff Permanent
7/23/14,9/26/14,7/30/14,Broadcom Corporation,Santa Clara,,7.0,Layoff Permanent
7/23/14,9/26/14,7/30/14,Broadcom Corporation,Santa Clara,,61.0,Layoff Permanent
7/23/14,9/26/14,7/30/14,Broadcom Corporation,Sunnyvale,,112.0,Layoff Permanent
7/23/14,9/30/14,7/30/14,"Bruker Daltonics, Inc.",Fremont,,78.0,Layoff Permanent
7/17/14,9/19/14,7/30/14,Foster Poultry Farms,Porterville,,60.0,Layoff unknown at this time
7/25/14,9/24/14,7/30/14,ITT Cannon LLC,Santa Ana,,5.0,Layoff Permanent
7/28/14,9/26/14,7/30/14,"Lazar Industries, LLC",Los Angeles,,55.0,Closure Permanent
7/22/14,9/30/14,7/30/14,Novartis Pharmaceuticals Corporation,Vacaville,,57.0,Layoff Permanent
7/25/14,9/23/14,7/30/14,Raytheon Company-Space and,El Segundo,,24.0,Layoff Permanent
7/15/14,9/27/14,7/30/14,"Sierra-Cascade Nursery, Inc./Ballico",Ballico,,544.0,Closure Temporary
7/21/14,9/22/14,7/30/14,Super Glue/Pacer Technology,Rancho,,14.0,Layoff Permanent
7/21/14,9/22/14,7/30/14,T.G.I. Friday's,San Diego,,56.0,Closure Permanent
7/31/14,9/30/14,7/31/14,"Cerexa, Inc.",Oakland,,52.0,Closure Permanent
7/10/14,7/11/14,7/31/14,Hewlitt-Packard Company,Palo Alto,,82.0,Layoff Permanent
7/29/14,10/3/14,7/31/14,Millennium Partners Sports Club,San Francisco,,189.0,Closure Permanent
7/29/14,9/30/14,7/31/14,"Moss & Stone, LLC",San Francisco,,104.0,Closure unknown at this time
7/30/14,9/30/14,7/31/14,"Trius Therapeutics, Inc.",San Diego,,6.0,Layoff unknown at this time
7/15/14,9/13/14,8/1/14,Beverly Community Hospital,Montebello,,82.0,Layoff Permanent
7/14/14,9/1/14,8/1/14,DNC - Back Lot Deli-Bradley Terminal-,Los Angeles,,25.0,Layoff Permanent
7/11/14,7/17/14,8/1/14,"G2 Secure Staff, LLC (Waste",Pico Rivera,,55.0,Closure Permanent
7/15/14,9/15/14,8/1/14,Intuit Inc,San Diego,,7.0,Layoff Permanent
7/15/14,9/15/14,8/1/14,Intuit Inc,Woodland Hills,,120.0,Layoff Permanent
7/14/14,9/26/14,8/1/14,Terminal 2 Wolfgang Pucks-Bradley,Los Angeles,,24.0,Layoff Permanent
7/16/14,9/29/14,8/1/14,"VPD IV, INc",El Dorado Hills,,17.0,Closure Permanent
8/1/14,10/7/14,8/4/14,CTI Foods/Custom Food Products,Long Beach,,315.0,Closure Permanent
8/1/14,10/3/14,8/4/14,Nestle Prepared Foods Company/Hot,Chatsworth,,353.0,Layoff unknown at this time
7/29/14,9/30/14,8/4/14,Tatitlek Corporation,Twentynine Palms,,2562.0,Layoff Permanent
8/1/14,9/19/14,8/5/14,Boeing Company,Long Beach,,158.0,Layoff unknown at this time
7/31/14,8/1/14,8/5/14,Hewlett-Packard Company,Palo Alto,,39.0,Layoff Permanent
7/30/14,10/3/14,8/5/14,Northrop Grumman Corporation,Fort Irwin,,423.0,Layoff Permanent
8/4/14,10/3/14,8/5/14,RMR Financial LLC,Santa Monica,,12.0,Layoff Permanent
7/31/14,6/18/14,8/5/14,Symantec Corporation,Mountain View,,4.0,Layoff Permanent
8/1/14,10/1/14,8/5/14,"United Airlines, Inc.",San Francisco,,233.0,Layoff Permanent
7/31/14,10/4/14,8/6/14,Foothill Transit/First Transit,Arcadia,,416.0,Layoff Permanent
8/5/14,10/4/14,8/6/14,"Space Systems/Loral, LLC",Palo Alto,,53.0,Layoff Permanent
8/5/14,10/8/14,8/7/14,"Actavis, Inc.",Corona,,48.0,Layoff Permanent
8/5/14,10/5/14,8/7/14,Springleaf Finance,Rancho,,10.0,Closure Permanent
8/8/14,10/10/14,8/11/14,Southern California Edison Company,Azusa,,8.0,Layoff Permanent
8/8/14,10/10/14,8/11/14,Southern California Edison Company,Baldwin Park,,320.0,Layoff Permanent
8/8/14,10/10/14,8/11/14,Southern California Edison Company,Rosemead,,82.0,Layoff Permanent
8/6/14,10/6/14,8/11/14,Sutter Health/ABSMC Summit,Oakland,,4.0,Layoff Permanent
8/12/14,8/12/14,8/13/14,TaylorMade Golf Company,Carlsbad,,98.0,Layoff Permanent
8/14/14,9/26/14,8/14/14,"Amcor Rigid Plastics USA, Inc.",Los Angeles,,112.0,Layoff Permanent
8/11/14,10/10/14,8/14/14,"RAD Harvest, LLC",Monterey,,1.0,Layoff Permanent
8/11/14,10/10/14,8/14/14,"RAD Harvest, LLC",Salinas,,80.0,Layoff Permanent
8/14/14,10/14/14,8/15/14,Raytheon Company-Space & Airborne,El Segundo,,28.0,Layoff Permanent
8/19/14,8/19/14,8/19/14,"Risk Management Solutions, Inc.",Newark,,78.0,Layoff Permanent
8/21/14,10/20/14,8/21/14,"Angelica Textile Services, Inc.",San Diego,,67.0,Closure Permanent
8/25/14,11/1/14,8/25/14,BD Medical,Carlsbad,,100.0,Closure Permanent
8/25/14,10/24/14,8/26/14,Ball Metal Food & Household Products,Oakdale,,159.0,Layoff Permanent
8/22/14,10/24/14,8/26/14,Boeing Company,Huntington Beach,,53.0,Layoff unknown at this time
8/22/14,10/24/14,8/26/14,Boeing Company,Long Beach,,49.0,Layoff unknown at this time
8/22/14,10/24/14,8/27/14,Boeing Company,El Segundo,,37.0,Layoff unknown at this time
8/26/14,8/26/14,8/27/14,Disney Interactive,Palo Alto,,55.0,Layoff Permanent
8/18/14,10/23/14,8/27/14,Imperium Security Specialists,San Jose,,45.0,Layoff unknown at this time
8/26/14,8/26/14,8/28/14,"Aruba Networks, Inc.",Sunnyvale,,116.0,Layoff Permanent
8/26/14,10/25/14,8/28/14,HSBC,Pomona,,40.0,Layoff Permanent
8/27/14,11/3/14,8/28/14,Precyse Solutions LLC,Los Angeles,,61.0,Layoff Permanent
8/22/14,10/22/14,9/2/14,Super Glue/Pacer Technology,Ontario,,10.0,Layoff Permanent
8/22/14,10/22/14,9/2/14,Super Glue/Pacer Technology,Rancho,,1.0,Layoff Permanent
8/25/14,10/26/14,9/2/14,USS-POSCO Industries,Pittsburg,,643.0,Layoff unknown at this time
8/25/14,10/31/14,9/3/14,"Allergan, Inc.",Irvine,,129.0,Layoff Permanent
8/5/14,8/4/14,9/3/14,BAE Systems,San Francisco,,1.0,Layoff unknown at this time
8/12/14,8/11/14,9/3/14,BAE Systems,San Francisco,,1.0,Layoff unknown at this time
8/21/14,11/10/14,9/3/14,"Investor's Business Daily, Inc.",Los Angeles,,38.0,Layoff Permanent
8/28/14,11/1/14,9/3/14,Menzies Aviation LAX,Los Angeles,,65.0,Layoff Permanent
9/2/14,11/3/14,9/4/14,"Exelixis, Inc.",South San,,152.0,Layoff Permanent
8/28/14,11/1/14,9/4/14,Stingaree,San Diego,,111.0,Closure Permanent
8/25/14,9/9/14,9/5/14,BAE Systems,San Francisco,,87.0,Layoff Temporary
9/2/14,10/26/14,9/5/14,Bank of America,Simi Valley,,36.0,Layoff Permanent
9/5/14,11/7/14,9/5/14,QBE North America,Irvine,,68.0,Layoff unknown at this time
8/29/14,10/1/14,9/5/14,Symantec Corporation,Mountain View,,2.0,Layoff Permanent
9/4/14,11/7/14,9/5/14,The Active Network,San Diego,,47.0,Layoff Permanent
8/29/14,10/29/14,9/5/14,The House of Big Fish and Ice Cold,Laguna Beach,,58.0,Closure Permanent
9/8/14,11/3/14,9/9/14,"Exelixis, Inc.",South San,,2.0,Layoff Permanent
9/4/14,11/6/14,9/9/14,Narus,Sunnyvale,,17.0,Layoff Permanent
9/3/14,10/31/14,9/10/14,"Security Industry Specialist, Inc.",San Bruno,,10.0,Layoff Permanent
9/3/14,10/31/14,9/10/14,"Security Industry Specialists, Inc.",Mountain View,,310.0,Layoff Permanent
9/3/14,10/31/14,9/10/14,"Security Industry Specialists, Inc.",Palo Alto,,3.0,Layoff Permanent
9/3/14,10/31/14,9/10/14,"Security Industry Specialists, Inc.",San Francisco,,12.0,Layoff Permanent
9/9/14,11/10/14,9/15/14,Antelope Valley Hospital,Lancaster,,99.0,Layoff unknown at this time
9/8/14,11/7/14,9/15/14,Discover Home Loans,Irvine,,4.0,Layoff Permanent
9/12/14,11/14/14,9/15/14,Ducommun Incorporated/Ducommun,Monrovia,,68.0,Layoff Permanent
9/7/14,11/10/14,9/17/14,Aramark Management Services,Los Alamitos,,51.0,Closure Permanent
9/11/14,11/10/14,9/17/14,California Superstores Valencia CJDR,Valencia,,64.0,Closure unknown at this time
9/15/14,11/16/14,9/17/14,Drew Ford,La Mesa,,281.0,Closure Permanent
9/15/14,11/14/14,9/17/14,United Technologies,San Diego,,6.0,Closure Permanent
9/10/14,11/2/14,9/18/14,Bank of America,Los Angeles,,5.0,Layoff Permanent
9/17/14,9/17/14,9/18/14,"Hightail, Inc.",Campbell,,74.0,Layoff Permanent
9/11/14,11/10/14,9/18/14,Morrison Healthcare,Los Alamitos,,53.0,Closure Permanent
9/11/14,11/15/14,9/18/14,Morrison Healthcare,Palm Springs,,85.0,Closure Permanent
9/17/14,11/24/14,9/18/14,San Francisco Marriott Marquis,San Francisco,,22.0,Layoff Temporary
9/15/14,11/24/14,9/18/14,Warren's Blackboard,North Hollywood,,58.0,Layoff Permanent
9/15/14,11/14/14,9/18/14,Yahoo! Inc.,Carlsbad,,59.0,Closure Permanent
9/12/14,11/12/14,9/22/14,BD Biosciences,San Jose,,60.0,Layoff Permanent
9/15/14,11/19/14,9/23/14,Ralphs Grocery Company,Whittier,,62.0,Closure unknown at this time
9/19/14,11/19/14,9/23/14,Western/Induspac Packaging Group,Livermore,,46.0,Closure unknown at this time
9/15/14,11/17/14,9/25/14,Discover Financial Services-Personal,Irvine,,25.0,Layoff Permanent
9/19/14,11/22/14,9/25/14,Envoy Air,Los Angeles,,107.0,Layoff Permanent
9/17/14,11/17/14,9/25/14,"Microsoft and Nokia, Inc.",Mountain View,,94.0,Layoff Permanent
9/18/14,11/17/14,9/25/14,"Microsoft and Nokia, Inc.",San Diego,,13.0,Layoff Permanent
9/18/14,11/17/14,9/25/14,"Microsoft and Nokia, Inc.",Sunnyvale,,53.0,Layoff Permanent
9/15/14,11/17/14,9/25/14,Morrison Healthcare,Fountain Valley,,91.0,Closure Permanent
9/22/14,11/21/14,9/25/14,Office Max,Menlo Park,,74.0,Closure Permanent
9/19/14,11/18/14,9/25/14,Sierra Nevada Corporation,Poway,,33.0,Closure Permanent
9/22/14,11/21/14,9/29/14,Moark LLC,Fontana,,73.0,Closure Permanent
9/22/14,10/31/14,9/30/14,Arcata Associates Inc.,Edwards,,101.0,Layoff Permanent
9/15/14,11/17/14,9/30/14,Discover Financial Services,Irvine,,25.0,Layoff Permanent
9/22/14,11/21/14,9/30/14,Moark LLC,Menifee,,25.0,Closure Permanent
9/22/14,11/21/14,9/30/14,Moark LLC,Nuevo,,87.0,Closure Permanent
9/22/14,11/23/14,9/30/14,Silgan Containers,Riverbank,,178.0,Layoff Temporary
9/22/14,11/21/14,10/1/14,Boeing Company,Huntington Beach,,40.0,Layoff unknown at this time
9/22/14,10/10/14,10/1/14,"Cisco Systems, Inc.",San Jose,,1005.0,Layoff Permanent
9/26/14,10/27/14,10/1/14,Exide Technologies,Los Angeles,,61.0,Layoff Temporary
9/22/14,11/21/14,10/2/14,Boeing Company,Long Beach,,227.0,Layoff unknown at this time
9/22/14,11/21/14,10/3/14,Boeing Company,El Segundo,,51.0,Layoff unknown at this time
9/16/14,9/30/14,10/6/14,Asset Protection and Security,El Centro,,184.0,Closure Permanent
9/30/14,12/1/14,10/6/14,MBM Foodservice,Fullerton,,76.0,Closure Permanent
9/25/14,11/24/14,10/7/14,"Astronics Test Systems, Inc.",Irvine,,53.0,Layoff Permanent
9/26/14,11/15/14,10/7/14,Crothall Halthcare-Desert Regional,Palm Springs,,81.0,Closure Permanent
10/2/14,1/17/15,10/7/14,"Kohl's Department Stores, Inc.",Hayward,,90.0,Closure Permanent
10/2/14,12/2/14,10/7/14,McGraw-Hill Education,Monterey,,47.0,Layoff unknown at this time
10/3/14,11/6/14,10/8/14,"Albertson's, LLC",Hawthorne,,78.0,Closure Permanent
10/3/14,12/31/14,10/8/14,Atrium Corporation,Ontario,,131.0,Closure Permanent
10/1/14,12/1/14,10/8/14,ITT Cannon LLC,Santa Ana,,41.0,Layoff Permanent
9/29/14,11/28/14,10/9/14,"Allergan, Inc.",Carlsbad,,40.0,Layoff Permanent
9/29/14,11/28/14,10/13/14,"Allergan, Inc.",Irvine,,371.0,Layoff Permanent
9/29/14,11/28/14,10/14/14,"Allergan, Inc.",Goleta,,134.0,Closure Permanent
9/15/14,11/30/14,10/14/14,"Nor-Cal Beverage Co, Inc.",Loomis,,118.0,Layoff Permanent
9/15/14,11/30/14,10/14/14,"Nor-Cal Beverage Co., Inc./Go Girl",West Sacramento,,10.0,Layoff Permanent
9/29/14,11/29/14,10/14/14,Super Glue/Pacer Technology,Rancho,,65.0,Layoff Permanent
9/28/14,11/28/14,10/14/14,Tatitlek Corporation,Twentynine Palms,,125.0,Layoff Permanent
9/23/14,11/30/14,10/16/14,"Kmart, Store #3276",San Leandro,,102.0,Closure Permanent
9/23/14,11/30/14,10/16/14,"Kmart, Store #4281",Covina,,92.0,Closure Permanent
10/1/14,12/31/14,10/16/14,Prometheus Real Estate Group,Hayward,,5.0,Layoff Permanent
10/1/14,12/31/14,10/16/14,Prometheus Real Estate Group,Los Gatos,,8.0,Layoff Permanent
10/1/14,12/31/14,10/16/14,Prometheus Real Estate Group,Mountain View,,9.0,Layoff Permanent
10/1/14,12/31/14,10/16/14,Prometheus Real Estate Group,San Mateo,,9.0,Layoff Permanent
9/25/14,10/25/14,10/16/14,Tri Counties Bank,Redding,,34.0,Layoff Permanent
9/25/14,10/25/14,10/16/14,Tri Counties Bank,Redding,,40.0,Layoff Permanent
10/10/14,12/12/14,10/20/14,Boeing Company,El Segundo,,34.0,Layoff unknown at this time
10/10/14,12/12/14,10/20/14,Boeing Company,Huntington Beach,,61.0,Layoff unknown at this time
10/10/14,12/12/14,10/20/14,Boeing Company,Long Beach,,44.0,Layoff unknown at this time
10/16/14,10/17/14,10/20/14,Chukchansi Gold Resort & Casino,Coarsegold,,1034.0,Closure Temporary
10/1/14,12/31/14,10/20/14,Prometheus Real Estate Group,San Jose,,6.0,Layoff Permanent
10/1/14,12/31/14,10/20/14,Prometheus Real Estate Group,Santa Clara,,9.0,Layoff Permanent
10/1/14,12/31/14,10/21/14,Prometheus Real Estate Group,Dublin,,7.0,Layoff Permanent
10/1/14,12/31/14,10/21/14,Prometheus Real Estate Group,Fremont,,6.0,Layoff Permanent
10/1/14,12/31/14,10/21/14,Prometheus Real Estate Group,Pleasanton,,5.0,Layoff Permanent
10/1/14,12/31/14,10/21/14,Prometheus Real Estate Group,Sacramento,,6.0,Layoff Permanent
10/1/14,12/31/14,10/21/14,Prometheus Real Estate Group,San Jose,,6.0,Layoff Permanent
10/1/14,12/31/14,10/21/14,Prometheus Real Estate Group,San Jose,,7.0,Layoff Permanent
10/1/14,12/31/14,10/21/14,Prometheus Real Estate Group,San Jose,,10.0,Layoff Permanent
10/15/14,12/15/14,10/22/14,Albertelli Law,Chatsworth,,66.0,Layoff Permanent
10/8/14,12/7/14,10/22/14,Bank of America,Canoga Park,,57.0,Layoff Permanent
10/3/14,12/19/14,10/22/14,City National Bank,Costa Mesa,,2.0,Closure Permanent
10/14/14,10/16/14,10/22/14,Harrold Ford,Sacramento,,120.0,Layoff unknown at this time
10/15/14,12/19/14,10/22/14,The Active Network,San Diego,,65.0,Layoff Permanent
10/15/14,12/16/14,10/22/14,Volcano Corporation,Rancho Cordova,,170.0,Layoff Permanent
