Notice_Date,Effective_Date,Received_Date,Company,City,County,No_employees,Layoff/Closure
08/21/2020,09/30/2020,09/04/2020,First Student,San Francisco,San Francisco County ,227,Layoff Temporary
04/02/2020,03/23/2020,09/03/2020,Paradies Lagardere,San Francisco,San Francisco County ,66,Layoff Temporary
08/21/2020,08/21/2020,09/03/2020,Linkedin Corporation,Sunnyvale,Santa Clara County ,29,Layoff Permanent
08/21/2020,10/01/2020,09/03/2020,California Resources Corporation,Bakersfield,Kern County ,55,Layoff Permanent
03/19/2020,03/17/2020,09/03/2020,"Paradies Lagardere @ LAX F&B, LLC",Los Angeles,Los Angeles County ,101,Layoff Temporary
04/13/2020,04/03/2020,09/03/2020,"Paradies-Long Beach, LLC",Long Beach,Los Angeles County ,88,Layoff Temporary
04/23/2020,04/11/2020,09/03/2020,"Paradies Lagardere @ LAX F&B, LLC",Los Angeles,Los Angeles County ,24,Layoff Temporary
04/02/2020,04/03/2020,09/03/2020,"Paradies-Long Beach II, LLC",Long Beach,Los Angeles County ,80,Layoff Temporary
04/24/2020,04/01/2020,09/03/2020,Amada America,Brea,Orange County ,83,Layoff Unknown at this time
03/20/2020,03/20/2020,09/03/2020,"Paradies Shops, LLC",Sacramento,Sacramento County ,37,Layoff Temporary
05/08/2020,03/20/2020,09/03/2020,Old Town Trolley Tours of San Diego,San Diego,San Diego County ,94,Layoff Temporary
04/29/2020,05/01/2020,09/02/2020,Marugame Udon USA LLC,Los Angeles,Los Angeles County ,35,Layoff Permanent
07/09/2020,06/04/2020,09/02/2020,"Unical Aviation, Inc.",City of Industry,Los Angeles County ,1,Layoff Temporary
07/09/2020,06/04/2020,09/02/2020,"Unical Aviation, Inc.",City of Industry,Los Angeles County ,3,Layoff Permanent
07/09/2020,06/04/2020,09/02/2020,"Unical MRO, Inc.",San Bernardino,San Bernardino County ,2,Layoff Temporary
06/19/2020,06/19/2020,09/02/2020,Hotel DeAnza,San Jose,Santa Clara County ,2,Layoff Permanent
04/09/2020,04/10/2020,09/02/2020,Watsonville Community Hospital,Watsonville,Santa Cruz County ,7,Layoff Permanent
04/22/2020,04/24/2020,09/02/2020,Flying Food Group LLC,Burlingame,San Mateo County ,18,Layoff Permanent
04/14/2020,04/21/2020,09/02/2020,Watsonville Community Hospital,Watsonville,Santa Cruz County ,23,Layoff Temporary
08/24/2020,10/11/2020,09/02/2020,Silgan Containers,Modesto,Stanislaus County ,75,Layoff Temporary
08/19/2020,10/19/2020,09/02/2020,"Sun Pacific Farming Cooperative, Inc.",Exeter,Tulare County ,209,Layoff Permanent
08/24/2020,08/21/2020,09/02/2020,Catalyst Family Inc.,Davis,Yolo County ,12,Layoff Unknown at this time
08/24/2020,10/20/2020,09/01/2020,"FXI, INc.",San Leandro,Alameda County ,64,Closure Permanent
05/20/2020,05/15/2020,09/01/2020,Trophy of Carson LLC-Kia of Carson,Carson,Los Angeles County ,43,Layoff Permanent
05/20/2020,05/15/2020,09/01/2020,"West Covina Motor Group, LLC",West Covina,Los Angeles County ,14,Layoff Permanent
03/20/2020,03/19/2020,09/01/2020,"Avalon BH HM, LLC - Avalon Hotel Beverly Hills",Beverly Hills,Los Angeles County ,69,Layoff Temporary
04/08/2020,04/08/2020,09/01/2020,"West Covina Motor Group, LLC dba West Covina Nissan",West Covina,Los Angeles County ,67,Layoff Temporary
04/16/2020,03/14/2020,09/01/2020,Transform SR LLC - 02728,Downey,Los Angeles County ,17,Layoff Temporary
06/04/2020,06/08/2020,09/01/2020,"Safran Electronics & Defense, Avionics USA, LLC",Irvine,Orange County ,170,Layoff Temporary
03/20/2020,03/20/2020,09/01/2020,"Avalon PS HM LLC, dba Avalon Palm Springs",Palm Springs,Riverside County ,72,Closure Temporary
04/15/2020,01/21/2020,09/01/2020,Gate Gourmet's San Francisco International Airport Kitchen,San Francisco,San Francisco County ,678,Layoff Temporary
